Date,Nifty,Sensex
14-08-2012,-0.00262725,-0.002327352
16-08-2012,1.41E-03,0.00174256
17-08-2012,-0.0002712,-0.000832264
21-08-2012,-0.004404459,-0.004740912
22-08-2012,6.53E-04,0.000933441
23-08-2012,-0.000200539,-8.18E-05
24-08-2012,0.002303742,0.001633416
27-08-2012,0.002948713,0.002557129
28-08-2012,0.001272215,0.001158594
29-08-2012,0.00382684,0.003484512
30-08-2012,-0.002232334,-0.001260272
31-08-2012,0.004645476,0.00278377
03-09-2012,0.000392475,0.001126718
04-09-2012,-0.001670722,-0.001408439
05-09-2012,0.003995652,0.003187287
06-09-2012,-0.001054184,-0.000825244
07-09-2012,-0.008513356,-0.008367773
08-09-2012,-0.001347431,-0.001615918
10-09-2012,-0.000384792,-0.000418931
11-09-2012,-0.002144529,-0.002101264
12-09-2012,-0.003291038,-0.00356324
13-09-2012,-0.000347712,-0.000509514
14-09-2012,-0.011223744,-0.0105494
17-09-2012,-0.002511603,-0.001831695
18-09-2012,0.000770957,0.001085786
20-09-2012,0.003566481,0.003459734
21-09-2012,-0.010574609,-0.009448499
24-09-2012,0.001647613,0.001844812
25-09-2012,-0.000329258,-0.000489758
26-09-2012,0.000800607,0.001448325
27-09-2012,0.001071058,0.001229416
28-09-2012,-0.004116204,-0.004262238
01-10-2012,-0.001178692,-0.001413577
03-10-2012,-0.000944445,-0.001054928
04-10-2012,-0.004249155,-0.004315975
05-10-2012,0.003061089,0.00273608
08-10-2012,0.005395032,5.29E-03
09-10-2012,-0.002182811,-1.95E-03
10-10-2012,0.004011519,0.003765936
11-10-2012,-0.00427409,-0.004029067
12-10-2012,0.002441556,0.003002768
15-10-2012,-0.000856107,-0.000891385
16-10-2012,0.003007631,0.003164236
17-10-2012,-0.000940925,-0.000772397
18-10-2012,-0.004461701,-0.004207044
19-10-2012,0.002624144,0.002540812
22-10-2012,-0.002506416,-0.002575708
23-10-2012,0.001960477,0.00193203
25-10-2012,-1.06E-03,-1.13E-03
26-10-2012,0.003132239,0.003096908
29-10-2012,-9.97E-05,-0.000244298
30-10-2012,0.005220773,0.004803142
31-10-2012,-0.001687996,-0.001752643
01-11-2012,-0.001954661,-0.001319742
02-11-2012,-0.004031786,-0.004509739
05-11-2012,-0.000495166,-0.000171781
06-11-2012,-0.001535229,-0.001259886
07-11-2012,-0.00270005,-0.001958024
08-11-2012,0.001612717,0.001292001
09-11-2012,0.003991356,0.003762758
12-11-2012,0.000194803,0.000310194
13-11-2012,0.001281766,0.001198907
15-11-2012,0.002763853,0.003454212
16-11-2012,0.004414667,0.003825707
19-11-2012,0.00020652,-0.000702249
20-11-2012,-1.17E-05,0.000229297
21-11-2012,-0.003358259,-0.003094283
22-11-2012,-0.001000505,-0.001337964
23-11-2012,8.88E-05,0.000252667
26-11-2012,-0.000717237,-0.00071375
27-11-2012,-0.006998028,-0.007089159
29-11-2012,-0.007334623,-0.007513885
30-11-2012,-0.004070317,-0.003811496
03-12-2012,0.000657865,0.000777219
04-12-2012,-0.001351609,-0.000961768
05-12-2012,-0.000828824,-0.000980695
06-12-2012,-0.002231787,-0.002121061
07-12-2012,0.001724223,0.001399623
10-12-2012,-0.000110262,0.000322306
11-12-2012,0.000742969,0.000504853
12-12-2012,0.00079587,0.000714737
13-12-2012,0.002700592,0.002836438
14-12-2012,-0.002080572,-0.001982729
17-12-2012,0.001605828,0.001640474
18-12-2012,-0.002874445,-0.002707068
19-12-2012,-0.002408999,-0.002487871
20-12-2012,0.000967869,0.00049264
21-12-2012,0.005072444,0.004756915
24-12-2012,-0.000597443,-0.000295343
26-12-2012,-0.003681501,-0.003646866
27-12-2012,0.002618528,0.002099885
28-12-2012,-0.002820714,-0.00271184
31-12-2012,0.000238958,0.000405117
01-01-2013,-0.003351747,-0.003431396
02-01-2013,-0.003083391,-0.002949386
03-01-2013,-0.001175945,-0.001111945
04-01-2013,-0.000480316,-0.000423875
07-01-2013,0.002007854,0.002038824
08-01-2013,-0.000963481,-0.001125551
09-01-2013,0.002190846,0.001673523
10-01-2013,0.000207324,6.71E-05
11-01-2013,0.001264269,-1.99E-06
14-01-2013,-0.005276725,-0.00532903
15-01-2013,-2.34E-03,-0.001750757
16-01-2013,0.003943755,0.003691985
17-01-2013,-0.002694275,-0.003196498
18-01-2013,-0.001808427,-0.001628698
21-01-2013,-0.001279998,-0.001358468
22-01-2013,0.002420152,0.002605771
23-01-2013,-0.000416252,-0.000977832
24-01-2013,0.002514341,0.002235703
25-01-2013,-0.003971664,-0.003900585
28-01-2013,-1.07E-05,3.89E-06
29-01-2013,0.001783788,0.002436087
30-01-2013,-0.000419742,-0.000306209
31-01-2013,0.001508654,0.002395049
01-02-2013,0.002587661,0.002491092
04-02-2013,0.00084423,0.000659148
05-02-2013,0.002207083,0.00201373
06-02-2013,-0.000167652,0.000444245
07-02-2013,0.001489261,0.001315507
08-02-2013,0.002589132,0.002124501
11-02-2013,0.000415845,0.000539727
12-02-2013,-0.001811346,-0.002236385
13-02-2013,-0.000765619,-0.001043129
14-02-2013,0.002643243,0.002463269
15-02-2013,0.000703902,0.000647117
18-02-2013,-0.000795951,-0.00073398
19-02-2013,-0.003045016,-0.002988167
20-02-2013,-0.000244874,-0.000155459
21-02-2013,0.006686514,0.007074696
22-02-2013,0.000144733,0.000187688
