ABSL ETF,ABSL Nifty50,Franklin India,HDFC Index,ICICI ETF,ICICI Nifty,IDBI Nifty,IDFC ETF,IDFC Nifty,LIC MF,Nippon,SBI Nifty,Tata Index,Taurus Nifty,UTI ETF,UTI Nifty,Nifty 50
-0.00351772,-0.00363,-0.003573197,-0.003527187,-0.001950775,-0.004425933,-0.003535892,-0.002010178,-0.002027142,-0.003506663,-0.003581861,-0.003526237,-0.003516694,-0.003540593,0.001251974,-0.003535903,-0.002678008
0.002468997,0.002606,0.002663044,0.002878559,-0.00520751,-1.04E-03,0.002485374,-0.00302096,-0.003015175,0.002463889,0.002492878,0.002557903,0.002501267,0.002484031,-0.003754068,0.002504871,-0.003561246
-0.000726167,-0.00081,-0.000721021,-0.000663536,-0.001822422,-0.000731537,-0.000706062,-0.000633011,-0.000605043,-0.000711197,-0.000752315,-0.000737367,-0.000684209,-0.000713024,-0.003344424,-0.000710662,0.002474459
-0.002059977,-0.00201,-0.002000088,-0.002044966,0.001367355,-0.002773342,-0.002064518,0.00432039,0.004348808,-0.002025597,-0.002082951,-0.002085101,-0.002081215,-0.002063324,-0.001973379,-0.002063025,-0.000693473
-9.11E-03,-9.12E-03,-9.20E-03,-9.05E-03,-3.49E-03,-0.009450373,-9.23E-03,6.35E-05,7.06E-05,-9.03E-03,-9.28E-03,-9.14E-03,-9.14E-03,-9.20E-03,6.86E-04,-9.19E-03,-0.002077754
0.000774458,0.000817,0.000761594,0.000818208,0.008155489,-0.003597834,0.000800589,-0.000517674,-0.000464693,-0.002488186,0.000799996,-0.002808284,0.000784352,0.000812769,0.000428798,0.00080525,-0.009195612
-0.003282144,-0.00331,-0.003335913,-0.003287159,-0.001060313,-0.001547738,-0.00329296,0.002408786,0.002371946,-0.003223941,-0.003338704,-0.003273083,-0.003307361,-0.003279643,-0.002354973,-0.003303903,0.000785776
-0.003273771,-0.0032,-0.003271128,-0.003290313,-0.01072293,-0.002056611,-0.003255847,0.001118621,0.001130024,0.007981513,-0.003341564,0.007991465,-0.003288873,-0.00321769,0.001779712,-0.003205306,-0.003318037
0.007934836,0.007948,0.007988901,0.008019919,-0.001624378,0.017229269,0.008007835,-0.006790234,-0.006759052,0.001772996,0.008010464,0.001898082,0.007998123,0.007894805,0.001418057,0.00800465,-0.003331645
0.001775512,0.001752,0.001786613,0.002039828,-0.001205544,0.000530501,0.001774988,-0.003699044,-0.003723759,0.004235962,0.00176386,0.004298912,0.001781714,0.001766986,0.003169731,0.001768665,0.007957225
0.004270629,0.004264,0.004290047,0.004564554,0.002126876,0.003154096,0.00433567,-0.000486709,-0.000454561,0.011811012,0.004324175,0.012023317,0.004267989,0.004262613,0.003086262,0.004330899,0.00174
0.011999164,0.012089,0.011976528,0.011973761,0.003034683,0.011594917,0.012105368,-0.000874884,-0.000878661,-0.007491122,0.012021853,-0.007698497,0.012060932,0.011897437,0.0023462,0.012085546,0.004298168
-0.007674826,-7.74E-03,-0.007370537,-0.007685488,0.001377254,-0.013822606,-0.007661622,0.000150126,0.000145203,-0.000760506,-0.007614775,-0.000744788,-0.007667742,-0.007497287,0.000784874,-0.00766282,0.012011193
-0.00079326,-0.00067,-0.000474295,-0.000749975,0.009095829,-0.001625781,-7.67E-04,9.70E-05,-0.000120634,0.003604911,-0.000556412,0.003651796,-0.000762635,-0.000614645,-0.000518943,-0.000719879,-0.007686236
