HDFC Index,IDFC,LIC,Nippon,Tata,Sensex
0,0,0,0,0,0
-0.011588375,-0.01176427,-0.011390606,-0.011588416,-0.011555815,-0.011637371
0.001559627,0.003196928,0.001523108,0.001635869,0.001568159,0.001548187
0.00068969,0.001911752,0.000682392,0.000690039,0.000673805,0.000699475
-0.000616224,-0.00309328,-0.000631287,-0.000639172,-0.000621924,-0.000291585
0.001424012,0.002104915,0.001449524,0.001511773,0.001420104,0.000518417
-0.009573055,0.002656495,-0.009407542,-0.009492418,-0.009449465,0.000934878
-0.000247292,0.000705533,-0.000272324,-0.000288468,-0.000253486,-0.00951662
0.003762383,0.001389382,0.003699538,0.003748334,0.003710759,-0.000289253
-0.003267658,-0.00025359,-0.003108807,-0.003182312,-0.003134943,0.003730439
-0.00095144,-0.001253067,-0.000880067,-0.000920797,-0.000889978,-0.003159807
-0.007413649,0.000833254,-0.007227806,-0.007351414,-0.007346399,-0.000932934
0.000416578,-0.004252113,0.000397308,0.000376081,0.000430767,-0.007359749
-0.00500008,-0.004156022,-0.004955747,-0.005052514,-0.004993842,0.00038472
-0.002418818,-0.002728898,-0.002436042,-0.002504384,-0.002415105,-0.005046213
-0.000348371,0.001485419,-0.000282601,-0.000332115,-0.000273815,-0.002478846
-0.006354685,0.001616262,-0.006218937,-0.006278246,-0.006301141,-0.000329896
-2.17E-03,-2.45E-05,-2.14E-03,-2.17E-03,-0.002173911,-6.28E-03
-0.003937984,0.000381057,-0.003900235,-0.003920831,-3.96E-03,-0.002075311
0.00962294,-0.003332215,0.009364231,0.009560584,0.009521789,-0.003969429
-0.008599011,0.003852378,-0.008434279,-0.008732319,-0.008548125,0.009443018
-0.002627364,-0.000965542,-0.00262837,-0.0026874,-0.00269925,-0.00842299
-3.26E-03,-0.000103996,-3.21E-03,-3.26E-03,-0.003241765,-0.002695107
-0.004254143,-0.004511364,-0.004191622,-0.004314244,-4.30E-03,-0.003282817
-2.51E-03,-2.79E-05,-2.43E-03,-2.56E-03,-0.002439347,-4.29E-03
0.002106935,0.000899249,0.00206853,0.002121286,2.12E-03,-0.002517548
-0.00204051,-0.001901034,-0.002038374,-0.002131411,-0.002041175,0.002086303
-0.003007864,-0.003680601,-0.002957049,-0.00309219,-0.003001192,-0.002086549
